dataset,seed,method,success_rate,median_distance,median_runtime_ms
digits_0_vs_1,2,treesat_exact,1.0,0.0977030145879279,0.0822000001790002
digits_0_vs_1,3,nearest_neighbor,1.0,8.480971775236121,0.014850011211819947
digits_0_vs_1,3,random_search,0.9333333333333333,2.59059821372211,0.5482499982463196
digits_0_vs_1,3,treesat_exact,1.0,0.6043237241929481,0.05775000317953527
digits_0_vs_1,4,nearest_neighbor,1.0,8.34167248486321,0.014200006262399256
digits_0_vs_1,4,random_search,1.0,2.562602136941633,0.530549994437024
digits_0_vs_1,4,treesat_exact,1.0,0.4827687219952597,0.0550499971723184
digits_0_vs_1,5,nearest_neighbor,1.0,8.73341258990679,0.014949997421354055
digits_0_vs_1,5,random_search,0.9666666666666667,2.7640271825053997,0.5437500076368451
digits_0_vs_1,5,treesat_exact,1.0,0.618677165761029,0.055199998314492404
digits_0_vs_1,6,nearest_neighbor,1.0,8.632227233512635,0.014499993994832039
digits_0_vs_1,6,random_search,0.9666666666666667,4.837232239477678,0.5343499942682683
digits_0_vs_1,6,treesat_exact,1.0,1.3104949985229988,0.053449999541044235
digits_0_vs_1,7,nearest_neighbor,1.0,8.291142367489453,0.015049998182803392
digits_0_vs_1,7,random_search,1.0,2.8386743217248225,0.5642000178340822
digits_0_vs_1,7,treesat_exact,1.0,0.7671722324699743,0.06544998905155808
digits_0_vs_1,8,nearest_neighbor,1.0,8.486084348093499,0.014749995898455381
digits_0_vs_1,8,random_search,1.0,2.7295560308012847,0.5365000106394291
digits_0_vs_1,8,treesat_exact,1.0,0.6269740459046407,0.05604999023489654
digits_0_vs_1,9,nearest_neighbor,1.0,8.916754630023199,0.025900008040480316
digits_0_vs_1,9,random_search,1.0,4.093778186860681,0.8688999951118603
digits_0_vs_1,9,treesat_exact,1.0,1.2317351335455269,0.13380001473706216
digits_0_vs_1,10,nearest_neighbor,1.0,8.720491021212617,0.021800005924887955
digits_0_vs_1,10,random_search,0.9666666666666667,4.691315621055807,0.792499995441176
digits_0_vs_1,10,treesat_exact,1.0,1.05373676568268,0.08060000254772604
digits_0_vs_1,11,nearest_neighbor,1.0,8.608267976989922,0.018649996491149068
digits_0_vs_1,11,random_search,1.0,3.6048904726769555,0.6394000083673745
digits_0_vs_1,11,treesat_exact,1.0,0.827337500136972,0.06720000237692147
digits_0_vs_1,12,nearest_neighbor,1.0,8.827367367246975,0.01444999361410737
digits_0_vs_1,12,random_search,1.0,2.786294201651883,0.5345000099623576
digits_0_vs_1,12,treesat_exact,1.0,0.6078375559826448,0.05564998718909919
digits_0_vs_1,13,nearest_neighbor,1.0,8.337765945358013,0.014550008927471936
digits_0_vs_1,13,random_search,1.0,4.639035323689647,0.538849999429658
digits_0_vs_1,13,treesat_exact,1.0,0.8253104269915551,0.05590001819655299
digits_0_vs_1,14,nearest_neighbor,1.0,8.36355762632007,0.015550001990050077
digits_0_vs_1,14,random_search,1.0,2.795604078938182,0.5499000108102337
digits_0_vs_1,14,treesat_exact,1.0,0.5546231903599494,0.05714999861083925
digits_0_vs_1,15,nearest_neighbor,1.0,8.197720866042689,0.01440000778529793
digits_0_vs_1,15,random_search,1.0,2.6610432034828606,0.5288499960443005
digits_0_vs_1,15,treesat_exact,1.0,0.4810538653269962,0.05465000867843628
digits_0_vs_1,16,nearest_neighbor,1.0,8.492516407549836,0.015000012353993952
digits_0_vs_1,16,random_search,0.9666666666666667,2.6883624436662052,0.5482000124175102
digits_0_vs_1,16,treesat_exact,0.5666666666666667,0.48122221956472083,0.05840000812895596
digits_0_vs_1,17,nearest_neighbor,1.0,8.491261092991753,0.02200000744778663
digits_0_vs_1,17,random_search,1.0,0.6830604022296805,0.7247500034281984
digits_0_vs_1,17,treesat_exact,0.7333333333333333,0.09831721936920529,0.08745001105125993
digits_0_vs_1,18,nearest_neighbor,1.0,8.506075337558892,0.017250014934688807
digits_0_vs_1,18,random_search,0.9666666666666667,2.6651539756212155,0.5742500070482492
digits_0_vs_1,18,treesat_exact,0.4666666666666667,0.4840278669472518,0.06309998570941389
digits_0_vs_1,19,nearest_neighbor,1.0,8.553269556143942,0.01575000351294875
digits_0_vs_1,19,random_search,1.0,2.745561627186392,0.5503499996848404
