dataset,seed,query_id,method,runtime_ms,distance_l2,success
breast_cancer,0,11,random_search,0.44630000047618523,4.138799131125128,1
breast_cancer,0,12,treesat_exact,0.06299999949987978,1.4087692462502133,1
breast_cancer,0,12,nearest_neighbor,0.018599999748403206,6.498903266919479,1
breast_cancer,0,12,random_search,0.3864999998768326,5.894169194047177,1
breast_cancer,0,13,treesat_exact,0.05860000055690762,0.22219309292372463,1
breast_cancer,0,13,nearest_neighbor,0.017100001059588976,2.849736275679567,1
breast_cancer,0,13,random_search,0.6164000005810522,0.5790168621894872,1
breast_cancer,0,14,treesat_exact,0.07049999840091914,0.5535831369545119,1
breast_cancer,0,14,nearest_neighbor,0.035799999750452116,3.5928001407831354,1
breast_cancer,0,14,random_search,0.4133000002184417,1.9843927029026416,1
breast_cancer,0,15,treesat_exact,0.05430000055639539,0.40126902024768235,1
breast_cancer,0,15,nearest_neighbor,0.013099999705445953,2.3230063401286425,1
breast_cancer,0,15,random_search,0.38550000135728624,1.046550514647792,1
breast_cancer,0,16,treesat_exact,0.05259999852569308,0.7494266491751403,1
breast_cancer,0,16,nearest_neighbor,0.012900000001536682,4.866402906651512,1
breast_cancer,0,16,random_search,0.380899999072426,1.8180298672336361,1
breast_cancer,0,17,treesat_exact,0.05199999941396527,0.5073744327502399,1
breast_cancer,0,17,nearest_neighbor,0.012500000593718141,3.0300533292461487,1
breast_cancer,0,17,random_search,0.3806000004260568,1.9625389069892314,1
breast_cancer,0,18,treesat_exact,0.0839000003907131,0.3949219319977215,1
breast_cancer,0,18,nearest_neighbor,0.019400000383029692,6.443674620756584,1
breast_cancer,0,18,random_search,0.4085000000486616,0.2391959758157343,1
breast_cancer,0,19,treesat_exact,0.051799999710056,0.58380430193311,1
breast_cancer,0,19,nearest_neighbor,0.012500000593718141,4.787367915804506,1
breast_cancer,0,19,random_search,0.3738999985216651,2.0810903635589417,1
breast_cancer,0,20,treesat_exact,0.05050000072515104,0.5627663449982568,1
breast_cancer,0,20,nearest_neighbor,0.012299999070819467,7.480968905761325,1
breast_cancer,0,20,random_search,0.3758000002562767,2.268375584243765,1
breast_cancer,0,21,treesat_exact,0.052800000048591755,0.966837304643649,1
breast_cancer,0,21,nearest_neighbor,0.016200001482502557,6.105544901995573,1
breast_cancer,0,21,random_search,0.36110000110056717,3.6518353877142467,1
breast_cancer,0,22,treesat_exact,0.05000000055588316,0.11457867157708532,1
breast_cancer,0,22,nearest_neighbor,0.012499998774728738,2.463350897111738,1
breast_cancer,0,22,random_search,0.3935999993700534,0.27540073527292885,1
breast_cancer,0,23,treesat_exact,0.05019999844080303,0.26411722239020097,1
breast_cancer,0,23,nearest_neighbor,0.011899999663000926,2.992651555102408,1
breast_cancer,0,23,random_search,0.38130000029923394,0.999735036323303,1
breast_cancer,0,24,treesat_exact,0.05000000055588316,0.07810669750920463,1
breast_cancer,0,24,nearest_neighbor,0.012299999070819467,3.3150745030241984,1
breast_cancer,0,24,random_search,0.39199999991978984,0.24388260847873827,1
breast_cancer,0,25,treesat_exact,0.05609999971056823,0.6442368645008745,1
breast_cancer,0,25,nearest_neighbor,0.013999999282532372,3.9491741821833704,1
breast_cancer,0,25,random_search,0.3949000001739478,1.9622425219429043,1
breast_cancer,0,26,treesat_exact,0.05520000013348181,0.06758120328036848,1
breast_cancer,0,26,nearest_neighbor,0.017300000763498247,1.6527059716556074,1
breast_cancer,0,26,random_search,0.41479999890725594,0.25168618270669013,1
breast_cancer,0,27,treesat_exact,0.05310000051395036,0.31486459256685073,1
breast_cancer,0,27,nearest_neighbor,0.013799999578623101,2.6853891100645533,1
breast_cancer,0,27,random_search,0.37710000106017105,0.9255111646690912,1
